2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	GSK3B
LITHIUM	IMPA2
LITHIUM	IMPA1
EMICIZUMAB	F10
EMICIZUMAB	F9
VORTIOXETINE	ADRB1
VORTIOXETINE	HTR1B
VORTIOXETINE	HTR7
VORTIOXETINE	SLC6A4
VORTIOXETINE	HTR3A
VORTIOXETINE	HTR1A
M0002	AVPR2
N-(5-{4-CHLORO-3-[(2-HYDROXYETHYL)SULFAMOYL]PHENYL}-4-METHYL-1,3-THIAZOL-2-YL)ACETAMIDE	PIK3CG
N-(5-{4-CHLORO-3-[(2-HYDROXYETHYL)SULFAMOYL]PHENYL}-4-METHYL-1,3-THIAZOL-2-YL)ACETAMIDE	PIK3C3
BLEOMYCIN	LIG1
BLEOMYCIN	LIG3
CAPLACIZUMAB	VWF
TIPIRACIL	TYMP
CALCIPOTRIOL	VDR
4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE	CCNA2
4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE	CDK2
D-TARTARIC ACID	ATP6V1C1
D-TARTARIC ACID	B3GAT1
D-TARTARIC ACID	DDX6
D-TARTARIC ACID	TREM1
D-TARTARIC ACID	HIF1AN
PROPACETAMOL	PTGS2
PROPACETAMOL	PTGS1
PROPACETAMOL	CNR1
PROPACETAMOL	TRPV1
1-[2-DEOXYRIBOFURANOSYL]-2,4-DIFLUORO-5-METHYL-BENZENE-5MONOPHOSPHATE	POLK
MANAGLINAT DIALANETIL	FBP1
5BETA-DIHYDROTESTOSTERONE	AKR1D1
SO-101	HRH1
ALCLOMETASONE	NR3C1
FLAVIN MONONUCLEOTIDE	RPS6KA4
FLAVIN MONONUCLEOTIDE	PPCDC
FLAVIN MONONUCLEOTIDE	RFK
FLAVIN MONONUCLEOTIDE	HAO1
FLAVIN MONONUCLEOTIDE	PNPO
FLAVIN MONONUCLEOTIDE	POR
FLAVIN MONONUCLEOTIDE	DPYD
FLAVIN MONONUCLEOTIDE	SGK1
FLAVIN MONONUCLEOTIDE	DHODH
FLAVIN MONONUCLEOTIDE	HAO2
FLAVIN MONONUCLEOTIDE	BLVRB
FLAVIN MONONUCLEOTIDE	NOS1
(3E)-4-(1-METHYL-1H-INDOL-3-YL)BUT-3-EN-2-ONE	KAT2B
PROPANOYL-COA	PCCB
EQUILIN	HSD17B1
EQUILIN	ESR1
ISTAROXIME	ATP1A1
ISTAROXIME	ATP2A2
(2R,3R,4S,5R)-2-[6-AMINO-8-[(3,4-DICHLOROPHENYL)METHYLAMINO]PURIN-9-YL]-5-(HYDROXYMETHYL)OXOLANE-3,4-DIOL	HSPA8
(2R,3R,4S,5R)-2-[6-AMINO-8-[(3,4-DICHLOROPHENYL)METHYLAMINO]PURIN-9-YL]-5-(HYDROXYMETHYL)OXOLANE-3,4-DIOL	BAG1
1-BENZYL-3-(4-METHOXYPHENYLAMINO)-4-PHENYLPYRROLE-2,5-DIONE	NR1H3
1-BENZYL-3-(4-METHOXYPHENYLAMINO)-4-PHENYLPYRROLE-2,5-DIONE	RXRA
2-ISOBUTYL-3-METHOXYPYRAZINE	LCN9
2-[1-METHYLHEXYL]-4,6-DINITROPHENOL	SDHD
2-[1-METHYLHEXYL]-4,6-DINITROPHENOL	SDHC
2-[1-METHYLHEXYL]-4,6-DINITROPHENOL	SDHA
2-[1-METHYLHEXYL]-4,6-DINITROPHENOL	SDHB
ONERCEPT	TNF
PRAZEPAM	GABRR2
PRAZEPAM	GABRR3
PRAZEPAM	GABRA3
PRAZEPAM	GABRB2
PRAZEPAM	GABRG1
PRAZEPAM	GABRR1
PRAZEPAM	GABRB3
PRAZEPAM	GABRA2
PRAZEPAM	GABRB1
PRAZEPAM	GABRA1
PRAZEPAM	GABRD
PRAZEPAM	GABRG2
PRAZEPAM	GABRE
PRAZEPAM	GABRP
PRAZEPAM	GABRG3
PRAZEPAM	GABRA5
LAPACHONE	RBP3
3-NITRO-4-(2-OXO-PYRROLIDIN-1-YL)-BENZENESULFONAMIDE	CA2
4-(1-AMINO-1-CARBOXY-ETHYL)-BENZOIC ACID	GRM1
N-(CARBOXYCARBONYL)-D-PHENYLALANINE	HIF1AN
5-HYDROXY-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-2-ONE	PDPK1
1-METHYL-2-OXY-5,5-DIMETHYL PYRROLIDINE	REN
ACONITATE ION	ACO2
LURASIDONE	ADRA2A
LURASIDONE	ADRA2C
LURASIDONE	HTR2A
LURASIDONE	HTR1A
LURASIDONE	DRD2
LURASIDONE	HTR7
(2S,3S)-3-AMINO-4-(3,3-DIFLUOROPYRROLIDIN-1-YL)-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-6-YLCYCLOHEXYL)BUTANAMIDE	DPP4
TESTOSTERONE UNDECANOATE	NR3C2
TESTOSTERONE UNDECANOATE	AR
TESTOSTERONE UNDECANOATE	ESR1
XL820	KDR
XL820	PDGFRA
XL820	KIT
XL820	PDGFRB
SORBINIL	AKR1B1
MDX-1303	ANTXR2
MDX-1303	ANTXR1
6-(1,1-DIMETHYLALLYL)-2-(1-HYDROXY-1-METHYLETHYL)-2,3-DIHYDRO-7H-FURO[3,2-G]CHROMEN-7-ONE	GAPDHS
ROPIVACAINE	SCN10A
BROMOPRIDE	DRD2
DALTEPARIN	TFPI
DALTEPARIN	SERPINC1
DALTEPARIN	VEGFA
DALTEPARIN	SELP
LJP 1082	APOH
OXCARBAZEPINE	SCN5A
NUSINERSEN	SMN2
N-ETHYL-N-ISOPROPYL-3-METHYL-5-{[(2S)-2-(PYRIDIN-4-YLAMINO)PROPYL]OXY}BENZAMIDE	F2
NU1025	PARP1
ISOTRETINOIN	RARA
TETRAETHYLAMMONIUM	KCNA1
TETRAETHYLAMMONIUM	CHRNA9
TETRAETHYLAMMONIUM	KCNMA1
5-MERCAPTO-2-NITRO-BENZOIC ACID	IL12B
METHYL N-({(2S,3S)-3-[(PROPYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINATE	CTSB
N-CYCLOPROPYL-N-(TRANS-4-PYRIDIN-3-YLCYCLOHEXYL)-4-[(1S)-2,2,2-TRIFLUORO-1-HYDROXY-1-METHYLETHYL]BENZAMIDE	HSD11B1
4-(AMINOSULFONYL)-N-[(3,4,5-TRIFLUOROPHENYL)METHYL]-BENZAMIDE	CA2
2-[2-(4-CHLORO-PHENYLSULFANYL)-ACETYLAMINO]-3-(4-GUANIDINO-PHENYL)-PROPIONAMIDE	F2
DARATUMUMAB	CD38
FLUTEMETAMOL (18F)	APP
N-CYCLOHEXYL-4-IMIDAZO[1,2-A]PYRIDIN-3-YL-N-METHYLPYRIMIDIN-2-AMINE	MAPK10
1-ALPHA, 25-DIHYDROXYL-20-EPI-22-OXA-24, 26 ,27-TRIHOMOVITAMIN D3	VDR
N2-({[(4-BROMOPHENYL)METHYL]OXY}CARBONYL)-N1-[(1S)-1-FORMYLPENTYL]-L-LEUCINAMIDE	CTSK
N-ALPHA-(2-NAPHTHYLSULFONYL)-N-(3-AMIDINO-L-PHENYLALANINYL)-D-PIPECOLINIC ACID	PRSS1
METHOTRIMEPRAZINE	DRD4
METHOTRIMEPRAZINE	ADRA1A
METHOTRIMEPRAZINE	HTR2A
METHOTRIMEPRAZINE	DRD1
METHOTRIMEPRAZINE	DRD2
METHOTRIMEPRAZINE	CHRM4
METHOTRIMEPRAZINE	DRD3
METHOTRIMEPRAZINE	ADRA2A
METHOTRIMEPRAZINE	DRD5
METHOTRIMEPRAZINE	ADRA2C
METHOTRIMEPRAZINE	CHRM5
METHOTRIMEPRAZINE	ADRA1B
METHOTRIMEPRAZINE	HTR2C
METHOTRIMEPRAZINE	HRH1
METHOTRIMEPRAZINE	CHRM2
METHOTRIMEPRAZINE	ADRA1D
METHOTRIMEPRAZINE	ADRA2B
METHOTRIMEPRAZINE	CHRM3
METHOTRIMEPRAZINE	CHRM1
METIAMIDE	HRH2
ALPHA-D-QUINOVOPYRANOSE	GALM
ALPHA-D-QUINOVOPYRANOSE	AMY2A
2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	CSNK2A1
PIRETANIDE	SLC12A1
MISOPROSTOL	PTGER3
MISOPROSTOL	PTGER4
MISOPROSTOL	PTGER2
N-PROPYL-TARTRAMIC ACID	ACPP
2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE)	F7
7-HYDROXY-4-METHYL-3-(2-HYDROXY-ETHYL)COUMARIN	PFN1
8-(2,5-DIMETHOXY-BENZYL)-2-FLUORO-9H-PURIN-6-YLAMINE	HSP90AA1
SU4984	FGFR2
SU4984	FGFR1
GINKGO BILOBA	GABRB2
GINKGO BILOBA	GABRA1
GINKGO BILOBA	SLC6A2
GINKGO BILOBA	PLA2G2A
GINKGO BILOBA	GLRA1
GINKGO BILOBA	GABRG2
CARDIOLIPIN	SLC25A4
N-(3-CYANO-4,5,6,7-TETRAHYDRO-1-BENZOTHIEN-2-YL)-2-FLUOROBENZAMIDE	MAPK10
[3,5-DIBROMO-4-(4-HYDROXY-3-PHENETHYLCARBAMOYL-PHENOXY)-PHENYL]-ACETIC ACID	THRB
COLTUXIMAB RAVTANSINE	CD19
ALMOTRIPTAN	HTR1D
ALMOTRIPTAN	HTR1B
GSHNA	GSTA3
18-CHLORO-11,12,13,14-TETRAHYDRO-1H,10H-8,4-(AZENO)-9,15,1,3,6-BENZODIOXATRIAZACYCLOHEPTADECIN-2-ONE	CHEK1
1-AMINO-6-CYCLOHEX-3-ENYLMETHYLOXYPURINE	CDK2
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	UQCR10
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	CYC1
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	UQCR11
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	MT-CYB
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	UQCRFS1
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	UQCRB
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	UQCRH
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	UQCRQ
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	UQCRC1
METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	UQCRC2
DIHYDREXIDINE	DRD1
ERLOTINIB	EGFR
ERLOTINIB	NR1I2
ENMD-1198	TNFRSF11A
ENMD-1198	STAT3
ENMD-1198	HIF1A
MELPERONE	DRD2
2-(THIOMETHYLENE)-4-METHYLPENTANOIC ACID	ADAM28
TRIPELENNAMINE	HRH1
AGMATINE	ADRA2C
AGMATINE	GRIN1
AGMATINE	KCNJ1
AGMATINE	ASIC3
AGMATINE	CACNA1B
AGMATINE	NISCH
AGMATINE	CHRNA1
3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER	F2
1-[(2S)-4-(5-PHENYL-1H-PYRAZOLO[3,4-B]PYRIDIN-4-YL)MORPHOLIN-2-YL]METHANAMINE	CHEK1
2-DEOXY-N-(NAPHTHALEN-1-YLMETHYL)GUANOSINE 5-(DIHYDROGEN PHOSPHATE)	POLK
SELETRACETAM	CACNA1B
SELETRACETAM	SV2A
FLUPENTIXOL	DRD2
FLUPENTIXOL	ADRA1A
FLUPENTIXOL	HTR2A
FLUPENTIXOL	CHRM1
FLUPENTIXOL	DRD1
ALLOSAMIZOLINE	CHIA
ALLOSAMIZOLINE	CHIT1
BIS-1,2-{[(Z)-2-CARBOXY-2-METHYL-1,3-DIOXANE]-5-YLOXYCARBAMOYL}-ETHANE	APCS
TUBERCULIN PURIFIED PROTEIN DERIVATIVE	TLR2
INCB13739	HSD11B1
REIDISPONGIOLIDE A	ACTA1
SRT501	SIRT1
S-ACETYL-CYSTEINE	KAT5
MIGALASTAT	GLA
QUIZARTINIB	FLT3
CARIPRAZINE	DRD3
CARIPRAZINE	HRH1
CARIPRAZINE	HTR2A
CARIPRAZINE	HTR2B
CARIPRAZINE	HTR1A
CARIPRAZINE	DRD2
2-CHLORO-4-{[(1R,3Z,7S,7AS)-7-HYDROXY-1-(TRIFLUOROMETHYL)TETRAHYDRO-1H-PYRROLO[1,2-C][1,3]OXAZOL-3-YLIDENE]AMINO}-3-METHYLBENZONITRILE	AR
INS 316	P2RY2
MIGLUSTAT	UGCG
17-METHYL-17-ALPHA-DIHYDROEQUILENIN	NCOA2
17-METHYL-17-ALPHA-DIHYDROEQUILENIN	ESR1
N-(3-AMINOPROPYL)-2-NITROBENZENAMINE	KAT2B
SPIRONOLACTONE	NR1I2
SPIRONOLACTONE	NR3C1
SPIRONOLACTONE	SHBG
SPIRONOLACTONE	AR
SPIRONOLACTONE	PGR
SPIRONOLACTONE	NR3C2
SPIRONOLACTONE	CYP11B2
HALCINONIDE	SMO
6-CARBAMIMIDOYL-4-(3-HYDROXY-2-METHYL-BENZOYLAMINO)-NAPHTHALENE-2-CARBOXYLIC ACID METHYL ESTER	F11
UREA	CTNNB1
UREA	CA2
UREA	ARG1
DEXKETOPROFEN	PTGS1
DEXKETOPROFEN	PTGS2
3-(6-HYDROXY-NAPHTHALEN-2-YL)-BENZO[D]ISOOXAZOL-6-OL	ESR2
3-(6-HYDROXY-NAPHTHALEN-2-YL)-BENZO[D]ISOOXAZOL-6-OL	NCOA1
PHENINDIONE	VKORC1
CHLORTHALIDONE	SLC12A1
FOTEMUSTINE	TXNRD1
AVI-4557	HNF4A
3R-HYDROXYDECANOYL-COA	HSD17B4
N7-METHYL-GUANOSINE-5-MONOPHOSPHATE	DCPS
ACTELION-1	EDNRA
PROCAINAMIDE	DNMT1
PROCAINAMIDE	KCNH2
PROCAINAMIDE	SCN5A
S-(DIMETHYLARSENIC)CYSTEINE	MSRA
S-(DIMETHYLARSENIC)CYSTEINE	NOS3
S-(DIMETHYLARSENIC)CYSTEINE	TLR2
S-(DIMETHYLARSENIC)CYSTEINE	XRCC4
S-(DIMETHYLARSENIC)CYSTEINE	COPG1
ACARBOSE	AMY2A
ACARBOSE	MGAM
ACARBOSE	SI
ACARBOSE	GAA
ISOETARINE	ADRB1
ISOETARINE	ADRB2
PROTEIN S HUMAN	F10
PROTEIN S HUMAN	PROC
PROTEIN S HUMAN	F5
MORNIFLUMATE	ALOX5
MORNIFLUMATE	TBXA2R
MORNIFLUMATE	PTGS2
MORNIFLUMATE	LTB4R
CYTARABINE	POLB
[2-(5-MERCAPTO-[1,3,4]THIADIAZOL-2-YLCARBAMOYL)-1-PHENYL-ETHYL]-CARBAMIC ACID BENZYL ESTER	MMP3
LOSARTAN	AGTR1
RU82197	SRC
QUINIDINE	ADRA1A
QUINIDINE	KCNK1
QUINIDINE	ADRA1B
QUINIDINE	ADRA1D
QUINIDINE	KCNH2
QUINIDINE	SCN5A
QUINIDINE	KCNK6
LFA703	ITGAL
N-BUTYL-N-HYDROXYGUANIDINE	NOS1
FLUSPIRILENE	HTR2A
FLUSPIRILENE	DRD2
FLUSPIRILENE	CACNG1
INDOLYLPROPIONIC ACID	PLA2G2E
SU9516	CDK5
SU9516	CDK2
SU9516	CDK1
5-{[(2-AMINO-9H-PURIN-6-YL)OXY]METHYL}-2-PYRROLIDINONE	CDK2
ETOMIDATE	GABRA1
ETOMIDATE	ADRA2B
4-FLUOROBENZYLAMINE	PRSS1
EPIRUBICIN	TOP2A
EPIRUBICIN	CHD1
(5BETA)-PREGNANE-3,20-DIONE	RXRA
(5BETA)-PREGNANE-3,20-DIONE	NCOA1
(5BETA)-PREGNANE-3,20-DIONE	NR1I3
(5BETA)-PREGNANE-3,20-DIONE	AKR1D1
RETEPLASE	PLAUR
RETEPLASE	PLG
RETEPLASE	FGA
RETEPLASE	SERPINE1
AVASIMIBE	CES1
PHENCYCLIDINE	GRIN3A
PHENCYCLIDINE	SIGMAR1
1-(5-CHLORO-2-METHOXYPHENYL)-3-{6-[2-(DIMETHYLAMINO)-1-METHYLETHOXY]PYRAZIN-2-YL}UREA	CHEK1
N-[4-METHYL-3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-3-PYRIDINECARBOXAMIDE	ABL1
N-(3-METHYLBUT-2-EN-1-YL)-9H-PURIN-6-AMINE	CDK2
4-[3-METHYLSULFANYLANILINO]-6,7-DIMETHOXYQUINAZOLINE	MAPK14
6-NITROINDAZOLE	NOS3
6-NITROINDAZOLE	NOS2
4-[(3AS,4R,7R,8AS,8BR)-2-(1,3-BENZODIOXOL-5-YLMETHYL)-7-HYDROXY-1,3-DIOXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZENECARBOXIMIDAMIDE	F2
HEPTANOIC ACID	PLA2G1B
VASOPRESSIN	AVPR2
VASOPRESSIN	AVPR1B
VASOPRESSIN	AVPR1A
N-[AMINO(IMINO)METHYL]-2-[2-(2-CHLOROPHENYL)-4-(4-PROPOXYPHENYL)-3-THIENYL]ACETAMIDE	BACE1
DESOGESTREL	PGR
DESOGESTREL	ESR1
ESZOPICLONE	GABRA5
ESZOPICLONE	GABRA3
ESZOPICLONE	TSPO
ESZOPICLONE	GABRA2
ESZOPICLONE	GABRA1
(2R)-2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}PROPENE-1-SULFONAMIDE	F2
(2R)-2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}PROPENE-1-SULFONAMIDE	F10
PINDOLOL	ADRB2
PINDOLOL	ADRB3
PINDOLOL	HTR1A
PINDOLOL	HTR1B
PINDOLOL	ADRB1
FLUOXETINE	SLC6A4
FLUOXETINE	CKS1B
FLUOXETINE	KCNH2
FLUOXETINE	HTR2C
TRANEXAMIC ACID	PLG
PARA-ISOPROPYLANILINE	CELA1
DOLASETRON	HTR3A
(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-PROP-1-YN-1-YLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE	DPP4
4-(1-METHYL-1-PHENYLETHYL)PHENOL	ESRRG
3-(5-{[4-(AMINOMETHYL)PIPERIDIN-1-YL]METHYL}-1H-INDOL-2-YL)QUINOLIN-2(1H)-ONE	CHEK1
CORTICORELIN OVINE TRIFLUTATE	CRHR1
INOSITOL 1,3,4,5-TETRAKISPHOSPHATE	DAPP1
INOSITOL 1,3,4,5-TETRAKISPHOSPHATE	AKT1
INOSITOL 1,3,4,5-TETRAKISPHOSPHATE	CYTH3
INOSITOL 1,3,4,5-TETRAKISPHOSPHATE	PLEKHA4
INOSITOL 1,3,4,5-TETRAKISPHOSPHATE	ITPKA
INOSITOL 1,3,4,5-TETRAKISPHOSPHATE	CYTH2
INOSITOL 1,3,4,5-TETRAKISPHOSPHATE	BTK
INOSITOL 1,3,4,5-TETRAKISPHOSPHATE	PDPK1
ARSENOUS ACID	ARSA
BECATECARIN	TOP2B
BECATECARIN	TOP2A
HYDRALAZINE	AOC3
HYDRALAZINE	P4HA1
CYCRIMINE	CHRM1
ISRADIPINE	CACNA2D1
ISRADIPINE	CACNB2
ISRADIPINE	CACNA1D
ISRADIPINE	CACNA2D2
ISRADIPINE	CACNA1S
ISRADIPINE	CACNA1C
ISRADIPINE	CACNA1H
5-BROMO-N-(2,3-DIHYDROXYPROPOXY)-3,4-DIFLUORO-2-[(2-FLUORO-4-IODOPHENYL)AMINO]BENZAMIDE	MAP2K1
DARUSENTAN	EDNRA
4,6-DIDEOXY-4-{[4,5,6-TRIHYDROXY-3-(HYDROXYMETHYL)CYCLOHEX-2-EN-1-YL]AMINO}-ALPHA-D-LYXO-HEXOPYRANOSYL-(1->4)-ALPHA-D-THREO-HEXOPYRANOSYL-(1->6)-ALPHA-L-THREO-HEXOPYRANOSE	AMY2A
2-[3-(5-MERCAPTO-[1,3,4]THIADIAZOL-2YL)-UREIDO]-N-METHYL-3-PENTAFLUOROPHENYL-PROPIONAMIDE	MMP3
TRIMETHAPHAN	CHRNA10
R-2-{[4-METHOXY-(1,1-BIPHENYL)-4-YL]-SULFONYL}-AMINO-6-METHOXY-HEX-4-YNOIC ACID	MMP3
2-AMINO-3-HYDROXY-3-PHOSPHONOOXY-PROPIONIC ACID	ARSA
ALPHA-D-GLUCOSE 6-PHOSPHATE	HK1
ALPHA-D-GLUCOSE 6-PHOSPHATE	PYGM
ALPHA-D-GLUCOSE 6-PHOSPHATE	GPI
ALPHA-D-GLUCOSE 6-PHOSPHATE	AKR1B1
N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID	MMP10
N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID	MMP12
N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID	MMP3
N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID	MMP20
THYMIDINE-5-TRIPHOSPHATE	TK2
THYMIDINE-5-TRIPHOSPHATE	TK1
CREATINE	CKM
CREATINE	CKB
CREATINE	CKMT1A
CREATINE	CKMT2
CREATINE	SLC6A8
CREATINE	GAMT
L-[(N-HYDROXYAMINO)CARBONYL]PHENYLALANINE	CPA1
FLUTICASONE FUROATE	NR3C1
SERINE	SPTLC1
SERINE	AGXT
SERINE	SRR
SERINE	SPTLC2
SERINE	SDS
SERINE	CBS
SERINE	SARS
DEXTROMETHORPHAN	CHRNB4
DEXTROMETHORPHAN	OPRD1
DEXTROMETHORPHAN	SIGMAR1
DEXTROMETHORPHAN	GRIN3A
DEXTROMETHORPHAN	SLC6A2
DEXTROMETHORPHAN	OPRM1
DEXTROMETHORPHAN	PGRMC1
DEXTROMETHORPHAN	CHRNB2
DEXTROMETHORPHAN	CHRNA2
DEXTROMETHORPHAN	SIGMAR1
DEXTROMETHORPHAN	CHRNA4
DEXTROMETHORPHAN	OPRK1
DEXTROMETHORPHAN	CHRNA7
DEXTROMETHORPHAN	SLC6A4
DEXTROMETHORPHAN	CHRNA3
(10ALPHA,13ALPHA,14BETA,17ALPHA)-17-HYDROXYANDROST-4-EN-3-ONE	AKR1C2
(10ALPHA,13ALPHA,14BETA,17ALPHA)-17-HYDROXYANDROST-4-EN-3-ONE	AKR1C1
9-AMINO-5-(2-AMINOPYRIMIDIN-4-YL)PYRIDO[3,2:4,5]PYRROLO[1,2-C]PYRIMIDIN-4-OL	CCNA2
9-AMINO-5-(2-AMINOPYRIMIDIN-4-YL)PYRIDO[3,2:4,5]PYRROLO[1,2-C]PYRIMIDIN-4-OL	CDK2
8-BROMO-ADENOSINE-5-MONOPHOSPHATE	HINT1
8-BROMO-ADENOSINE-5-MONOPHOSPHATE	PDE4B
CDP323	ITGA4
UDP-ALPHA-D-GLUCURONIC ACID	B3GAT3
UDP-ALPHA-D-GLUCURONIC ACID	GALE
PARAMETHADIONE	CACNA1I
TEMSIROLIMUS	MTOR
FLUNARIZINE	HRH1
FLUNARIZINE	CACNA1G
FLUNARIZINE	CACNA1H
FLUNARIZINE	CACNA1I
FLUNARIZINE	CALM1
SUCCINYLCHOLINE	CHRNA7
SUCCINYLCHOLINE	CHRM2
SUCCINYLCHOLINE	CHRNA10
SUCCINYLCHOLINE	CHRM1
SUCCINYLCHOLINE	CHRM3
DYCLONINE	SCN10A
N-(5-{[(2S)-4-AMINO-2-(3-CHLOROPHENYL)BUTANOYL]AMINO}-1H-INDAZOL-3-YL)BENZAMIDE	DYRK1A
4-[5-(2-CARBOXY-1-FORMYL-ETHYLCARBAMOYL)-PYRIDIN-3-YL]-BENZOIC ACID	CASP3
(9BETA,13ALPHA,14BETA,17ALPHA)-2-METHOXYESTRA-1,3,5(10)-TRIENE-3,17-DIYL DISULFAMATE	CA2
(3,4,5-TRIHYDROXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-2-YL)-PHOSPHORAMIDIC ACID DIMETHYL ESTER	PYGM
BALANOL ANALOG 8	PRKACA
3-((3-BROMO-5-O-TOLYLPYRAZOLO[1,5-A]PYRIMIDIN-7-YLAMINO)METHYL)PYRIDINE 1-OXIDE	CDK2
1H-INDOL-3-YLACETIC ACID	SKP1
1H-INDOL-3-YLACETIC ACID	PLA2G2E
VERUBECESTAT	BACE1
COA-S-ACETYL TRYPTAMINE	AANAT
MANGANESE	ARG1
MANGANESE	IDH3A
MANGANESE	TF
MANGANESE	TAB1
MANGANESE	IDH3G
6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE	ABL1
(4R)-4-(3-BUTOXY-4-METHOXYBENZYL)IMIDAZOLIDIN-2-ONE	PDE4D
(4R)-4-(3-BUTOXY-4-METHOXYBENZYL)IMIDAZOLIDIN-2-ONE	PDE4A
3-HYDROXYPROPYL 3-[(7-CARBAMIMIDOYL-1-NAPHTHYL)CARBAMOYL]BENZENESULFONATE	F11
RELACATIB	CTSK
CYPROHEPTADINE	HTR7
CYPROHEPTADINE	CHRM3
CYPROHEPTADINE	CHRM1
CYPROHEPTADINE	CHRM2
CYPROHEPTADINE	HRH1
CYPROHEPTADINE	HTR2A
CYPROHEPTADINE	HTR2C
GLYPHOSATE	CYP19A1
2-(BETA-D-GLUCOPYRANOSYL)-5-METHYL-1,3,4-BENZOTHIAZOLE	PYGM
SNX-5422	HSP90AA1
SNX-5422	HSP90AB1
[2(FORMYL-HYDROXY-AMINO)-ETHYL]-PHOSPHONIC ACID	TPI1
2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOPYRANOSE(BETA1-4)-2-ACETAMIDO-1,6-ANHYDRO-3-O-[(R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSE-L-ALANYL-GAMMA-D-GLUTAMYL-MESO-DIAMINOPIMELYL-D-ALANINE	PGLYRP3
APRINOCARSEN	PRKCA
METHOCARBAMOL	CA1
